Neighborhood,Trucks
South of Market,88
Financial District,75
Mission,61
Central Waterfront,47
Bayview,38
Mission Bay,28
Potrero Hill,26
Produce Market,24
Downtown / Union Square,22
Hunters Point,20
India Basin,18
Bret Harte,17
Dogpatch,15
Northern Waterfront,14
Showplace Square,13
South Beach,11
Rincon Hill,9
Pacific Heights,9
Mission Dolores,7
Silver Terrace,4
Western Addition,4
Bernal Heights,4
Civic Center,4
Little Hollywood,4
Presidio Heights,4
Hayes Valley,3
Candlestick Point SRA,3
Cow Hollow,3
Castro,3
Apparel City,3
Panhandle,2
Lower Nob Hill,2
North Beach,2
Parnassus Heights,2
Inner Sunset,2
Cathedral Hill,2
Tenderloin,2
Anza Vista,2
Marina,2
Golden Gate Heights,2
Russian Hill,2
Lakeshore,1
Portola,1
Ingleside,1
Polk Gulch,1
Laurel Heights / Jordan Park,1
Lower Haight,1
Eureka Valley,1
Outer Mission,1
Crocker Amazon,1
Lone Mountain,1
Outer Richmond,1
Noe Valley,1
Westwood Park,1
Laguna Honda,1
Alamo Square,1
